title,genres,one_star,two_star,three_star,four_star,five_star,rating
My Wife Is the Martial Alliance Head,Adventure,14,2,4,4,17,3.2
My Wife Is the Martial Alliance Head,Comedy,14,2,4,4,17,3.2
My Wife Is the Martial Alliance Head,Action,14,2,4,4,17,3.2
My Wife Is the Martial Alliance Head,Martial Arts,14,2,4,4,17,3.2
My Wife Is the Martial Alliance Head,Romance,14,2,4,4,17,3.2
Don’t be So Proud,School Life,7,0,12,41,57,4.2
Don’t be So Proud,Supernatural,7,0,12,41,57,4.2
Don’t be So Proud,Gender Bender,7,0,12,41,57,4.2
Don’t be So Proud,Comedy,7,0,12,41,57,4.2
Don’t be So Proud,Romance,7,0,12,41,57,4.2
"I, The Villain, Can Issue Tasks to the Heroine!",Comedy,3,0,1,2,11,4.1
"I, The Villain, Can Issue Tasks to the Heroine!",Drama,3,0,1,2,11,4.1
"I, The Villain, Can Issue Tasks to the Heroine!",Harem,3,0,1,2,11,4.1
"I, The Villain, Can Issue Tasks to the Heroine!",Mature,3,0,1,2,11,4.1
"I, The Villain, Can Issue Tasks to the Heroine!",Romance,3,0,1,2,11,4.1
"I, The Villain, Can Issue Tasks to the Heroine!",Xuanhuan,3,0,1,2,11,4.1
Tears in Heaven,Slice of Life,3,2,0,2,15,4.1
Tears in Heaven,Drama,3,2,0,2,15,4.1
Tears in Heaven,Romance,3,2,0,2,15,4.1
Tears in Heaven,Josei,3,2,0,2,15,4.1
