title,genres,one_star,two_star,three_star,four_star,five_star,rating
The Daily Record of Secretly Loving the Male Idol,Romance,9,4,9,33,111,4.4
I am a Good Man,School Life,5,0,8,4,23,4
I am a Good Man,Adventure,5,0,8,4,23,4
I am a Good Man,Historical,5,0,8,4,23,4
I am a Good Man,Action,5,0,8,4,23,4
I am a Good Man,Slice of Life,5,0,8,4,23,4
I am a Good Man,Fantasy,5,0,8,4,23,4
I am a Good Man,Romance,5,0,8,4,23,4
Caught in My Own Trap,Drama,21,15,7,8,21,2.9
Caught in My Own Trap,Josei,21,15,7,8,21,2.9
Caught in My Own Trap,Romance,21,15,7,8,21,2.9
"Magic, Mechanics, Shuraba",School Life,7,8,10,23,40,3.9
"Magic, Mechanics, Shuraba",Harem,7,8,10,23,40,3.9
"Magic, Mechanics, Shuraba",Sci-fi,7,8,10,23,40,3.9
"Magic, Mechanics, Shuraba",Drama,7,8,10,23,40,3.9
"Magic, Mechanics, Shuraba",Mecha,7,8,10,23,40,3.9
"Magic, Mechanics, Shuraba",Action,7,8,10,23,40,3.9
"Magic, Mechanics, Shuraba",Fantasy,7,8,10,23,40,3.9
I’m a God in an Online Game,Action,1,0,2,1,1,3.2
I’m a God in an Online Game,Adventure,1,0,2,1,1,3.2
I’m a God in an Online Game,Comedy,1,0,2,1,1,3.2
I’m a God in an Online Game,Fantasy,1,0,2,1,1,3.2
Sage Monarch,Seinen,107,59,43,96,210,3.5
Sage Monarch,Xuanhuan,107,59,43,96,210,3.5
Sage Monarch,Adventure,107,59,43,96,210,3.5
Sage Monarch,Action,107,59,43,96,210,3.5
Sage Monarch,Martial Arts,107,59,43,96,210,3.5
Sage Monarch,Fantasy,107,59,43,96,210,3.5
The Trush,Wuxia,0,0,0,0,2,5
The Trush,Mystery,0,0,0,0,2,5
The Trush,Adventure,0,0,0,0,2,5
The Trush,Action,0,0,0,0,2,5
The Trush,Martial Arts,0,0,0,0,2,5
I Found My Dad Is a Crossdresser,School Life,6,5,6,6,13,3.4
I Found My Dad Is a Crossdresser,Drama,6,5,6,6,13,3.4
I Found My Dad Is a Crossdresser,Comedy,6,5,6,6,13,3.4
I Found My Dad Is a Crossdresser,Shounen Ai,6,5,6,6,13,3.4
I Found My Dad Is a Crossdresser,Slice of Life,6,5,6,6,13,3.4
I Found My Dad Is a Crossdresser,Romance,6,5,6,6,13,3.4
Hushed Whispers,Gender Bender,4,2,0,3,12,3.8
Hushed Whispers,Comedy,4,2,0,3,12,3.8
Hushed Whispers,Romance,4,2,0,3,12,3.8
The Law of Love With God,Comedy,1,1,0,0,1,2.7
The Law of Love With God,Fantasy,1,1,0,0,1,2.7
